0,1,2,3,4
2011,"PlayStation 3, Xbox 360",Rocksteady Studios,"Action-Adventure: Brawler, Stealth",Batman: Arkham City[131]
2010,Wii,Nintendo EAD Tokyo Development Group,Platformer,Super Mario Galaxy 2[132]
2009,PlayStation 3,Naughty Dog,Action-Adventure: (Third-Person) Shooter,Uncharted 2: Among Thieves[133]
2008,"Windows, PlayStation 3, Xbox 360",Rockstar North,Open World: (Third-Person) Shooter,Grand Theft Auto IV
2007,Wii,Nintendo,Platformer,Super Mario Galaxy
2006,"Wii, Nintendo GameCube",Nintendo,Action-Adventure,The Legend of Zelda: Twilight Princess
2005,"GameCube, PlayStation 2, Windows, Wii",Capcom,Survival horror: (Third-Person) Shooter,Resident Evil 4
2004,"Windows, Xbox, Xbox 360, PlayStation 3",Valve,(First-Person) Shooter,Half-Life 2
2003,GameCube,Nintendo EAD,Action-Adventure: Open World,The Legend of Zelda: The Wind Waker
2002,"GameCube, Wii","Retro Studios, Nintendo",Action-Adventure: (First-Person) Shooter,Metroid Prime
2001,"PlayStation 2, Windows, Xbox",DMA Design,Action-Adventure: Open World,Grand Theft Auto III
2000,Nintendo 64,"Rare, Nintendo",(First-Person) Shooter,Perfect Dark
1999,DreamCast,Namco,Fighting: Hack & Slash,Soulcalibur
1998,Nintendo 64,Nintendo EAD,Action-Adventure: Open World,The Legend of Zelda: Ocarina of Time
1997,Nintendo 64,"Rare, Nintendo",(First-Person) Shooter,GoldenEye 007
1996,"Nintendo 64, iQue Player, Nintendo DS, Virtual Console",Nintendo EAD,Platformer: Open World,Super Mario 64
