Fans' Rank,Director(s),Overall Rank,Year,Title
201,Jean Renoir,90,1937,The Grand Illusion
202,Michel Gondry,176,2004,Eternal Sunshine of the Spotless Mind
203,Giuseppe Tornatore,192,1988,Cinema Paradiso
204,George Lucas,198,1973,American Graffiti
205,Steven Soderbergh,713,2000,Traffic
206,Howard Hawks,72,1940,His Girl Friday
207,John Hughes,346,1985,The Breakfast Club
208,Werner Herzog,188,1972,Aguirre: The Wrath of God
209,Peter Weir,384,1989,Dead Poets Society
210,Roman Polanski,193,1968,Rosemary's Baby
211,Terrence Malick,357,1998,The Thin Red Line
212,Mel Brooks,224,1974,Blazing Saddles
213,Ingmar Bergman,208,1957,Wild Strawberries
214,John Boorman,326,1972,Deliverance
215,John Landis,299,1978,Animal House
216,Charles Chaplin,97,1925,The Gold Rush
217,John Carpenter,210,1982,The Thing
218,John Lasseter,268,1999,Toy Story 2
219,F.W. Murnau,105,1922,Nosferatu
220,Roger Allers and Rob Minkoff,270,1994,The Lion King
221,Ron Howard,485,1995,Apollo 13
222,Alan J. Pakula,277,1976,All the President's Men
223,Robert Altman,128,1970,M*A*S*H
224,Quentin Tarantino,701,2004,Kill Bill: Vol. 2
225,Joel Coen,460,1990,Miller's Crossing
226,Stanley Kubrick,853,1999,Eyes Wide Shut
227,James L. Brooks,635,1997,As Good as It Gets
228,Tony Scott,430,1993,True Romance
229,George A. Romero,139,1968,Night of the Living Dead
230,F.W. Murnau,99,1927,Sunrise
231,Lewis Milestone,146,1930,All Quiet on the Western Front
232,Joel Coen,776,2000,"O Brother, Where Art Thou?"
233,Andrew Adamson and Vicky Jenson,284,2001,Shrek
234,Guy Ritchie,1088,2000,Snatch.
235,Rob Reiner,167,1989,When Harry Met Sally?
236,Robert Rossen,222,1961,The Hustler
237,John Landis,293,1980,The Blues Brothers
238,Wes Anderson,286,1998,Rushmore
239,Bob Clark,642,1983,A Christmas Story
240,Guy Hamilton,186,1964,Goldfinger
241,Stanley Kubrick,355,1975,Barry Lyndon
242,Fred Zinnemann,220,1953,From Here to Eternity
243,Krzysztof Kieslowski,232,1994,Three Colors: Red
244,George A. Romero,216,1978,Dawn of the Dead
245,John Madden,244,1998,Shakespeare in Love
246,Peter Bogdanovich,325,1971,The Last Picture Show
247,Robert Altman,86,1975,Nashville
248,David Lean,191,1965,Doctor Zhivago
249,Yasujiro Ozu,110,1953,Tokyo Story
250,Don Siegel,255,1971,Dirty Harry
251,Kevin Smith,1430,1997,Chasing Amy
252,Quentin Tarantino,927,1997,Jackie Brown
253,Sydney Pollack,197,1982,Tootsie
254,Akira Kurosawa,342,1961,Yojimbo
255,David Hand,89,1937,Snow White and the Seven Dwarfs
256,Francis Ford Coppola,432,1990,The Godfather: Part III
257,Guy Ritchie,740,1998,"Lock, Stock and Two Smoking Barrels"
258,Mel Brooks,184,1968,The Producers
259,Robert Zemeckis,367,1988,Who Framed Roger Rabbit
260,Hayao Miyazaki,174,2001,Spirited Away
261,Oliver Stone,759,1994,Natural Born Killers
262,George Miller,306,1981,The Road Warrior
263,Akira Kurosawa,331,1952,Ikiru
264,Wim Wenders,195,1987,Wings of Desire
265,Sam Raimi,501,2002,Spider-Man
266,Wes Anderson,516,2001,The Royal Tenenbaums
267,Richard Attenborough,251,1982,Gandhi
268,Dennis Hopper,160,1969,Easy Rider
269,James Whale,121,1935,Bride of Frankenstein
270,Richard Lester,157,1964,A Hard Day's Night
271,Mike Nichols,476,1966,Who's Afraid of Virginia Woolf?
272,John Ford,106,1939,Stagecoach
273,Billy Bob Thornton,826,1996,Sling Blade
274,Michelangelo Antonioni,266,1966,Blow-Up
275,Peter Farrelly,1311,1994,Dumb & Dumber
276,James Whale,137,1931,Frankenstein
277,Marcel Carn?,129,1945,Children of Paradise
278,Michael Curtiz and William Keighley,153,1938,The Adventures of Robin Hood
279,George Cukor,164,1964,My Fair Lady
280,Terrence Malick,249,1973,Badlands
281,Sofia Coppola,254,2003,Lost in Translation
282,Hal Ashby,459,1979,Being There
283,Mike Judge,774,1999,Office Space
284,Blake Edwards,203,1961,Breakfast at Tiffany's
285,Federico Fellini,243,1954,La Strada
286,Andrei Tarkovsky,236,1966,Andrei Rublev
287,Roman Polanski,470,2002,The Pianist
288,Mel Stuart,348,1971,Willy Wonka & the Chocolate Factory
289,Robert Altman,492,1992,The Player
290,Anthony Minghella,231,1996,The English Patient
291,Michelangelo Antonioni,196,1960,L'Avventura
292,Rob Reiner,1183,1992,A Few Good Men
293,Woody Allen,354,1986,Hannah and Her Sisters
294,Cameron Crowe,304,1996,Jerry Maguire
295,Steven Spielberg,676,1984,Indiana Jones and the Temple of Doom
296,Michael Mann,647,1999,The Insider
297,Steven Spielberg,796,2002,Minority Report
298,Tobe Hooper,233,1974,The Texas Chain Saw Massacre
299,Randal Kleiser,187,1978,Grease
300,Richard Donner,272,1978,Superman
